#Aplicación presupuestaria,Programa,Económico,Desc. programa,Desc. económico,Proyecto,Desc. proyecto,Consig. inicial,Modificaciones,Consig. definit.,Obl. recon. (O)
2012.0.0.3344.0.226,3344,226,Projectes cultur. Europeu,Despeses diverses,,,,5181.01,5181.01,4940.67
2012.0.0.3344.0.481,3344,481,Projectes cultur. Europeu,Premis i Beques,,,,14348.33,14348.33,14347.71
2012.0.0.3345.0.489,3345,489,Bandes de Música,Aportacions i subvencions,,,30000.0,-23139.94,6860.06,
2012.0.0.3347.0.120,3347,120,Pomoció d'Ús Valencià,Retribucions bàsiques,,,17581.44,,17581.44,16655.66
2012.0.0.3347.0.121,3347,121,Pomoció d'Ús Valencià,Retribucions complementar,,,16672.88,,16672.88,15402.56
2012.0.0.3347.0.160,3347,160,Pomoció d'Ús Valencià,Quotes socials,,,10618.84,,10618.84,8529.32
2012.0.0.3347.0.220,3347,220,Pomoció d'Ús Valencià,Material oficina,,,300.0,,300.0,
2012.0.0.3347.0.226,3347,226,Pomoció d'Ús Valencià,Despeses diverses,,,1500.0,,1500.0,1646.1
2012.0.0.3350.0.130,3350,130,Escola de Teatre,Personal laboral fix,,,5866.1,128.35,5994.45,5750.19
2012.0.0.3350.0.160,3350,160,Escola de Teatre,Quotes socials,,,1818.49,248.82,2067.31,2067.31
2012.0.0.3350.0.226,3350,226,Escola de Teatre,Despeses diverses,,,1500.0,,1500.0,1500.0
2012.0.0.3351.0.226,3351,226,Representacions teatrals,Despeses diverses,,,20000.0,26144.81,46144.81,39285.23
2012.0.0.3360.1203.627,3360,627,Arqueología y protección del Patrimonio Histórico-Artístico,Inv. nova Projec. compex,1203,Piezas museables,,19999.82,19999.82,19999.82
2012.0.0.3370.0.120,3370,120,Ponència de Joventut,Retribucions bàsiques,,,34884.34,5149.55,40033.89,31242.37
2012.0.0.3370.0.121,3370,121,Ponència de Joventut,Retribucions complementar,,,40734.54,,40734.54,35463.64
2012.0.0.3370.0.131,3370,131,Ponència de Joventut,Personal Laboral eventual,,,27785.58,-5847.82,21937.76,3722.7
2012.0.0.3370.0.160,3370,160,Ponència de Joventut,Quotes socials,,,32611.09,-8705.5,23905.59,22295.8
2012.0.0.3371.0.226,3371,226,Centre informacio juvenil,Despeses diverses,,,24118.85,-20695.68,3423.17,3084.82
2012.0.0.3379.0.212,3379,212,Centre Tercera edat,Rep.mment.i cons.edificis,,,1842.24,,1842.24,2453.64
2012.0.0.3379.0.221,3379,221,Centre Tercera edat,Subministres,,,27897.24,9715.0,37612.24,17185.84
2012.0.0.3379.0.226,3379,226,Centre Tercera edat,Despeses diverses,,,1000.0,,1000.0,725.16
2012.0.0.3380.0.226,3380,226,Festes Populars,Despeses diverses,,,50000.0,74537.05,124537.05,124026.11
2012.0.0.3410.0.226,3410,226,Ponència d'Esports,Despeses diverses,,,15000.0,-8372.32,6627.68,2956.19
2012.0.0.3410.0.489,3410,489,Ponència d'Esports,Aportacions i subvencions,,,95000.0,,95000.0,95000.0
2012.0.0.3420.0.120,3420,120,Piscina d'Estiu,Retribucions bàsiques,,,,,,10298.41
2012.0.0.3420.0.121,3420,121,Piscina d'Estiu,Retribucions complementar,,,,,,3011.82
2012.0.0.3420.0.130,3420,130,Piscina d'Estiu,Personal laboral fix,,,52822.81,3195.45,56018.26,47512.16
2012.0.0.3420.0.131,3420,131,Piscina d'Estiu,Personal Laboral eventual,,,,14716.35,14716.35,
2012.0.0.3420.0.160,3420,160,Piscina d'Estiu,Quotes socials,,,16375.07,5743.57,22118.64,20073.04
2012.0.0.3420.0.213,3420,213,Piscina d'Estiu,Rep.mment i cons.Maquinar,,,22000.0,,22000.0,16519.58
2012.0.0.3420.0.227,3420,227,Piscina d'Estiu,Treb.real.altres empreses,,,12600.0,,12600.0,90.0
2012.0.0.3421.0.120,3421,120,Poliesportiu Municipal,Retribucions bàsiques,,,48064.0,,48064.0,44574.0
2012.0.0.3421.0.121,3421,121,Poliesportiu Municipal,Retribucions complementar,,,77016.38,,77016.38,71446.35
2012.0.0.3421.0.160,3421,160,Poliesportiu Municipal,Quotes socials,,,38774.92,-572.38,38202.54,36546.17
2012.0.0.3421.0.212,3421,212,Poliesportiu Municipal,Rep.mment.i cons.edificis,,,1000.0,198.28,1198.28,7627.02
2012.0.0.3421.0.213,3421,213,Poliesportiu Municipal,Rep.mment i cons.Maquinar,,,5000.0,5047.02,10047.02,10133.96
2012.0.0.3421.0.221,3421,221,Poliesportiu Municipal,Subministres,,,67108.62,4900.0,72008.62,32298.24
2012.0.0.3421.1205.623,3421,623,Poliesportiu Municipal,Inv. nova maquinar. intst,1205,Equipament esportiu,,15870.36,15870.36,15870.36
2012.0.0.3422.0.213,3422,213,Piscines municipals,Rep.mment i cons.Maquinar,,,25678.98,,25678.98,10943.29
2012.0.0.3422.0.221,3422,221,Piscines municipals,Subministres,,,132708.16,,132708.16,73752.99
2012.0.0.3422.0.227,3422,227,Piscines municipals,Treb.real.altres empreses,,,225000.0,,225000.0,201519.42
2012.0.0.4100.0.120,4100,120,Consell Local Agrari,Retribucions bàsiques,,,45130.54,,45130.54,41900.87
2012.0.0.4100.0.121,4100,121,Consell Local Agrari,Retribucions complementar,,,62686.12,,62686.12,58120.64
2012.0.0.4100.0.160,4100,160,Consell Local Agrari,Quotes socials,,,33423.16,,33423.16,31239.83
2012.0.0.4100.0.204,4100,204,Consell Local Agrari,Arrendament vehicles,,,9896.16,,9896.16,
2012.0.0.4100.0.226,4100,226,Consell Local Agrari,Despeses diverses,,,5000.0,-2960.0,2040.0,7028.62
2012.0.0.4190.0.120,4190,120,Vedat de caça,Retribucions bàsiques,,,9379.62,,9379.62,8482.37
2012.0.0.4190.0.121,4190,121,Vedat de caça,Retribucions complementar,,,12508.02,,12508.02,11602.05
2012.0.0.4190.0.160,4190,160,Vedat de caça,Quotes socials,,,6785.17,17629.73,24414.9,21395.16
2012.0.0.4300.0.226,4300,226,Promoció Econòmica,Despeses diverses,,,6850.0,,6850.0,6672.54
2012.0.0.4310.0.212,4310,212,Mercat Municipal,Rep.mment.i cons.edificis,,,2204.0,2960.0,5164.0,3873.43
2012.0.0.4310.0.221,4310,221,Mercat Municipal,Subministres,,,5000.0,4198.3,9198.3,7744.77
2012.0.0.4311.0.226,4311,226,Fira Sant Sebastià,Despeses diverses,,,32575.0,40014.4,72589.4,56554.1
2012.0.0.4330.0.489,4330,489,Promoció empresarial,Aportacions i subvencions,,,10000.0,,10000.0,
2012.0.0.4540.1202.601,4540,601,Camins rurals,Inversió nova en infraest,1202,reparació camins rurals,18202.11,25000.0,43202.11,16704.86
2012.0.0.4910.0.489,4910,489,Mitjans de comunicació,Aportacions i subvencions,,,10000.0,-9000.0,1000.0,
2012.0.0.4911.0.110,4911,110,Gabinet de comunicacio,Retrib. personal eventual,,,35499.94,,35499.94,32964.23
2012.0.0.4911.0.160,4911,160,Gabinet de comunicacio,Quotes socials,,,2239.11,9387.21,11626.32,10934.26
2012.0.0.4911.0.227,4911,227,Gabinet de comunicacio,Treb.real.altres empreses,,,1000.0,9000.0,10000.0,10000.0
2012.0.0.4920.0.206,4920,206,Administració electrònica,Arrendament equip informa,,,17965.5,,17965.5,15422.6
2012.0.0.4920.0.216,4920,216,Administració electrònica,Rep.mment i cons.E.inform,,,4948.8,4880.1,9828.9,11313.61
2012.0.0.4920.0.227,4920,227,Administració electrònica,Treb.real.altres empreses,,,25000.0,907.2,25907.2,24334.08
2012.0.0.4930.0.120,4930,120,O.M.I.C.,Retribucions bàsiques,,,13135.46,,13135.46,12308.59
2012.0.0.4930.0.121,4930,121,O.M.I.C.,Retribucions complementar,,,13457.08,,13457.08,12495.86
2012.0.0.4930.0.160,4930,160,O.M.I.C.,Quotes socials,,,8243.69,,8243.69,7011.72
2012.0.0.4930.0.226,4930,226,O.M.I.C.,Despeses diverses,,,800.0,,800.0,610.06
2012.0.0.9120.0.100,9120,100,Órganos de gobierno,Retribucions dedic. exclu,,,104154.84,-6146.75,98008.09,90789.97
2012.0.0.9120.0.160,9120,160,Órganos de gobierno,Quotes socials,,,34371.1,-3077.03,31294.07,31294.07
2012.0.0.9120.0.226,9120,226,Órganos de gobierno,Despeses diverses,,,3000.0,-2027.88,972.12,972.12
2012.0.0.9120.0.233,9120,233,Órganos de gobierno,Assitències,,,108361.0,-17963.5,90397.5,90397.5
2012.0.0.9121.0.489,9121,489,Grups Politics,Aportacions i subvencions,,,22000.0,,22000.0,21150.0
2012.0.0.9200.0.222,9200,222,Serveis Generals,Servei de comunicacions,,,5000.0,19000.0,24000.0,22516.39
2012.0.0.9200.0.226,9200,226,Serveis Generals,Despeses diverses,,,500.0,9152.74,9652.74,13141.88
2012.0.0.9200.0.230,9200,230,Serveis Generals,Dietes,,,1500.0,,1500.0,
2012.0.0.9200.0.231,9200,231,Serveis Generals,Despeses locomoció,,,2000.0,200.0,2200.0,339.32
2012.0.0.9201.0.120,9201,120,Secretaria,Retribucions bàsiques,,,166520.46,-16759.63,149760.83,141438.99
2012.0.0.9201.0.121,9201,121,Secretaria,Retribucions complementar,,,220461.36,-21167.95,199293.41,185547.69
2012.0.0.9201.0.160,9201,160,Secretaria,Quotes socials,,,119964.36,-28612.71,91351.65,91351.65
2012.0.0.9202.0.203,9202,203,Oficines Municipals,Arrendament maquinaria,,,12360.0,2186.5,14546.5,4586.9
2012.0.0.9202.0.212,9202,212,Oficines Municipals,Rep.mment.i cons.edificis,,,,,,519.71
2012.0.0.9202.0.213,9202,213,Oficines Municipals,Rep.mment i cons.Maquinar,,,23000.0,,23000.0,20116.57
2012.0.0.9202.0.220,9202,220,Oficines Municipals,Material oficina,,,50000.0,23878.33,73878.33,46550.33
2012.0.0.9202.0.221,9202,221,Oficines Municipals,Subministres,,,80000.0,31435.84,111435.84,91476.93
2012.0.0.9202.0.222,9202,222,Oficines Municipals,Servei de comunicacions,,,15000.0,324.33,15324.33,50324.17
2012.0.0.9202.0.223,9202,223,Oficines Municipals,Servei transport/missatge,,,1000.0,,1000.0,110.13
2012.0.0.9203.0.202,9203,202,Edificis Municipals,Arrendament edifici,,,20800.0,3003.9,23803.9,17725.48
2012.0.0.9203.0.212,9203,212,Edificis Municipals,Rep.mment.i cons.edificis,,,8000.0,1055.87,9055.87,6907.89
2012.0.0.9203.0.227,9203,227,Edificis Municipals,Treb.real.altres empreses,,,345609.35,,345609.35,353834.86
2012.0.0.9203.1206.632,9203,632,Edificis Municipals,Inv. repos.Edificis i con,1206,Eficiència energètica,,57404.38,57404.38,
2012.0.0.9204.0.120,9204,120,Departament informàtica,Retribucions bàsiques,,,28677.0,-504.05,28172.95,26484.97
2012.0.0.9204.0.121,9204,121,Departament informàtica,Retribucions complementar,,,38438.12,-183.02,38255.1,35509.52
2012.0.0.9204.0.160,9204,160,Departament informàtica,Quotes socials,,,20805.69,-1233.32,19572.37,19572.37
2012.0.0.9205.0.227,9205,227,Asses. i defensa lletrada,Treb.real.altres empreses,,,15000.0,5803.03,20803.03,20674.93
2012.0.0.9206.0.224,9206,224,Bens Municipals,Contracte de segur,,,55000.0,-13372.72,41627.28,35445.45
2012.0.0.9207.0.226,9207,226,Jutjat,Despeses diverses,,,10000.0,,10000.0,1937.81
2012.0.0.9209.0.120,9209,120,Departament de Personal,Retribucions bàsiques,,,90675.6,1207.2,91882.8,66713.1
2012.0.0.9209.0.121,9209,121,Departament de Personal,Retribucions complementar,,,115564.26,-47732.51,67831.75,79189.51
2012.0.0.9209.0.160,9209,160,Departament de Personal,Quotes socials,,,63934.35,-19394.77,44539.58,44539.58
2012.0.0.9240.0.226,9240,226,Participació ciutadana,Despeses diverses,,,1500.0,-1500.0,,
2012.0.0.9250.0.120,9250,120,Atenció ciutada i U.Admin,Retribucions bàsiques,,,182908.14,-4954.22,177953.92,165845.19
2012.0.0.9250.0.121,9250,121,Atenció ciutada i U.Admin,Retribucions complementar,,,230512.96,,230512.96,214893.94
2012.0.0.9250.0.160,9250,160,Atenció ciutada i U.Admin,Quotes socials,,,128160.54,-8096.83,120063.71,120063.71
2012.0.0.9291.0.270,9291,270,Indemnitzacions,Despeses imprevistes,,,42000.0,6631.39,48631.39,27082.33
2012.0.0.9292.0.120,9292,120,Taller,Retribucions bàsiques,,,20884.02,,20884.02,19383.78
2012.0.0.9292.0.121,9292,121,Taller,Retribucions complementar,,,26122.18,,26122.18,24131.93
2012.0.0.9292.0.160,9292,160,Taller,Quotes socials,,,14571.92,861.64,15433.56,15658.42
2012.0.0.9292.0.226,9292,226,Taller,Despeses diverses,,,2550.0,-1943.31,606.69,606.69
2012.0.0.9310.0.120,9310,120,Àrea Econòmica,Retribucions bàsiques,,,100123.26,-12588.6,87534.66,85593.95
2012.0.0.9310.0.121,9310,121,Àrea Econòmica,Retribucions complementar,,,157638.04,-37723.35,119914.69,114488.14
2012.0.0.9310.0.160,9310,160,Àrea Econòmica,Quotes socials,,,79906.0,-11696.62,68209.38,60952.58
2012.0.0.9320.0.227,9320,227,Recaptació Tributs,Treb.real.altres empreses,,,31000.0,97720.96,128720.96,51693.89
2012.0.0.9321.0.227,9321,227,Inspecció Tributària,Treb.real.altres empreses,,,25000.0,-25000.0,,
2012.0.0.9340.0.359,9340,359,Entitas finançeres,Otros gastos financieros,,,500.0,6362.54,6862.54,6862.54
2012.0.0.9420.0.466,9420,466,Transferencias a Entidades Locales territoriales,A altres Ent. agrup.munic,,,5100.0,1110.29,6210.29,6210.29
2012.0.0.9430.0.463,9430,463,Transf. altres Ent. Local,A Mancomunitats,,,27000.0,,27000.0,27780.84
2012.0.0.9430.0.464,9430,464,Transf. altres Ent. Local,A Àrees Metropolitanes.,,,58228.17,-33990.68,24237.49,23416.94
2012.1.0.1320.1001.632,1320,632,Seguretat i orgre públic,Inv. repos.Edificis i con,1001,REHAB. CASSETES AGROCROS,,4008.4,4008.4,
2012.1.0.1550.0006.612,1550,612,Vies Públiques,Inv. rep infrastructures,0006,Urb. Av. Xuquer [pluvials,,24582.75,24582.75,
2012.1.0.1550.005.602,1550,602,Vies Públiques,Inversio nova en infraest,005,Urbanit. Espioca [pluvial,,25519.68,25519.68,
2012.1.0.1550.0238.603,1550,603,Vies Públiques,Inversio nova en infraest,0238,Molí Magallo,,93156.88,93156.88,
2012.1.0.1550.0415.608,1550,608,Vies Públiques,Altres inversions noves,0415,Urbanitzacio Pla Bega,,133148.91,133148.91,
2012.1.0.1550.0630.606,1550,606,Vies Públiques,Inversió nova en Infraest,0630,U.E. Maset,,2782.36,2782.36,
2012.1.0.1550.0.770,1550,770,Vies Públiques,A Empresses Pivades,,,,11680.91,11680.91,
2012.1.0.1550.0917.623,1550,623,Vies Públiques,Inv. nova maquinar. intst,0917,ADQUISICIO MATERIAL OBRES,,288.92,288.92,
2012.1.0.1550.1005.611,1550,611,Vies Públiques,Inversio reposicio infrae,1005,MOBILIARI URBA I SENYALS,,7566.52,7566.52,
2012.1.0.1640.0708.611,1640,611,Cementeri Municipal,Inversio reposicio infrae,0708,Inversions Cementeri,,7835.91,7835.91,
2012.1.0.1650.1011.611,1650,611,Enllumenat Públic,Inversio reposicio infrae,1011,REPOS. ENLLUM [PAP 09-11],,20000.0,20000.0,19999.96
2012.1.0.1650.1102.601,1650,601,Enllumenat Públic,Inversió nova en infraest,1102,Adquis.valor Port Silla,,9793.46,9793.46,9793.46
2012.1.0.2210.0.162,2210,162,Personal actiu,Despeses socials,,,,2500.0,2500.0,2403.88
2012.1.0.2411.0.120,2411,120,Promoció de l'ocupació,Retribucions bàsiques,,,,7734.86,7734.86,6693.2
2012.1.0.2411.0.131,2411,131,Promoció de l'ocupació,Personal Laboral eventual,,,,39822.57,39822.57,39687.03
2012.1.0.2411.0.226,2411,226,Promoció de l'ocupació,Despeses diverses,,,,14194.67,14194.67,7346.54
2012.1.0.2411.0623.632,2411,632,Promoció de l'ocupació,Inv. repos.Edificis i con,0623,Escola Taller-centre form,,470.0,470.0,
2012.1.0.3243.0.780,3243,780,OOAA Conservatori Música,A instit. sense fi lucre,,,,6.01,6.01,
2012.1.0.3340.0.780,3340,780,Ponència de Cultura,A instit. sense fi lucre,,,,50.0,50.0,
2012.1.0.3341.0626.632,3341,632,Casa de la Cultura,Inv. repos.Edificis i con,0626,Condic. centre cultural,,1944.45,1944.45,154.36
2012.1.0.3344.0.226,3344,226,Projectes cultur. Europeu,Despeses diverses,,,,38956.11,38956.11,33098.89
2012.1.0.3360.1103.627,3360,627,Arqueología y protección del Patrimonio Histórico-Artístico,Inv. nova Projec. compex,1103,Rest.torre muralles pedra,,107498.0,107498.0,
2012.1.0.3421.0611.622,3421,622,Poliesportiu Municipal,In. nova Edificis i const,0611,Dot. esport. municipals,,41350.5,41350.5,
2012.1.0.3422.0501.600,3422,600,Piscines municipals,Inversions en terrenys,0501,Honoraris i urb.Piscina,,169172.76,169172.76,
2012.1.0.4121.1020.601,4121,601,Millora Medi Natural,Inversió nova en infraest,1020,CASA FIGUERO,,100353.42,100353.42,
2012.1.0.4190.0.131,4190,131,Vedat de caça,Personal Laboral eventual,,,,54640.77,54640.77,38009.42
2012.1.0.4190.0.226,4190,226,Vedat de caça,Despeses diverses,,,,74257.62,74257.62,59251.7
2012.1.0.4190.0.600,4190,600,Vedat de caça,Inversions en terrenys,,,,1482.37,1482.37,
2012.1.0.4500.1021.627,4500,627,Porjectes i direccio obr.,Inv. nova Projec. compex,1021,PROJ. DIREC. OBRES I LLIC,,7219.72,7219.72,
2012.1.0.4520.0508.602,4520,602,Recursos Hidràulics,Inversio nova en infraest,0508,Invers.xarxa aigües pluv.,,160712.05,160712.05,30299.51
2012.1.0.4540.1022.601,4540,601,Camins rurals,Inversió nova en infraest,1022,CAMINS RURALS,,75273.86,75273.86,39118.3
2012.1.0.9203.1101.623,9203,623,Edificis Municipals,Inv. nova maquinar. intst,1101,CLIMAT CASA CULTURAPPOS11,,260160.02,260160.02,118406.1
#,,,,,,,11533170.59,2333271.92,13866442.51,11607926.49
